Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","511","Population totale","2501","Population","2017","2017","1000 personnes","36296","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","511","Population totale","2501","Population","2018","2018","1000 personnes","37172","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","202","Afrique du Sud","511","Population totale","2501","Population","2017","2017","1000 personnes","57010","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","202","Afrique du Sud","511","Population totale","2501","Population","2018","2018","1000 personnes","57793","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","3","Albanie","511","Population totale","2501","Population","2017","2017","1000 personnes","2884","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","3","Albanie","511","Population totale","2501","Population","2018","2018","1000 personnes","2883","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","4","Alg?rie","511","Population totale","2501","Population","2017","2017","1000 personnes","41389","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","4","Alg?rie","511","Population totale","2501","Population","2018","2018","1000 personnes","42228","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","79","Allemagne","511","Population totale","2501","Population","2017","2017","1000 personnes","82658","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","79","Allemagne","511","Population totale","2501","Population","2018","2018","1000 personnes","83124","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","7","Angola","511","Population totale","2501","Population","2017","2017","1000 personnes","29817","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","7","Angola","511","Population totale","2501","Population","2018","2018","1000 personnes","30810","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","8","Antigua-et-Barbuda","511","Population totale","2501","Population","2017","2017","1000 personnes","95","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","8","Antigua-et-Barbuda","511","Population totale","2501","Population","2018","2018","1000 personnes","96","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","194","Arabie saoudite","511","Population totale","2501","Population","2017","2017","1000 personnes","33101","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","194","Arabie saoudite","511","Population totale","2501","Population","2018","2018","1000 personnes","33703","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","9","Argentine","511","Population totale","2501","Population","2017","2017","1000 personnes","43937","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","9","Argentine","511","Population totale","2501","Population","2018","2018","1000 personnes","44361","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","1","Arm?nie","511","Population totale","2501","Population","2017","2017","1000 personnes","2945","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","1","Arm?nie","511","Population totale","2501","Population","2018","2018","1000 personnes","2952","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","10","Australie","511","Population totale","2501","Population","2017","2017","1000 personnes","24585","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","10","Australie","511","Population totale","2501","Population","2018","2018","1000 personnes","24898","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","11","Autriche","511","Population totale","2501","Population","2017","2017","1000 personnes","8820","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","11","Autriche","511","Population totale","2501","Population","2018","2018","1000 personnes","8891","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","52","Azerba?djan","511","Population totale","2501","Population","2017","2017","1000 personnes","9845","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","52","Azerba?djan","511","Population totale","2501","Population","2018","2018","1000 personnes","9950","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","12","Bahamas","511","Population totale","2501","Population","2017","2017","1000 personnes","382","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","12","Bahamas","511","Population totale","2501","Population","2018","2018","1000 personnes","386","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","16","Bangladesh","511","Population totale","2501","Population","2017","2017","1000 personnes","159685","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","16","Bangladesh","511","Population totale","2501","Population","2018","2018","1000 personnes","161377","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","14","Barbade","511","Population totale","2501","Population","2017","2017","1000 personnes","286","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","14","Barbade","511","Population totale","2501","Population","2018","2018","1000 personnes","287","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","57","B?larus","511","Population totale","2501","Population","2017","2017","1000 personnes","9450","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","57","B?larus","511","Population totale","2501","Population","2018","2018","1000 personnes","9453","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","255","Belgique","511","Population totale","2501","Population","2017","2017","1000 personnes","11420","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","255","Belgique","511","Population totale","2501","Population","2018","2018","1000 personnes","11482","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","23","Belize","511","Population totale","2501","Population","2017","2017","1000 personnes","376","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","23","Belize","511","Population totale","2501","Population","2018","2018","1000 personnes","383","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","53","B?nin","511","Population totale","2501","Population","2017","2017","1000 personnes","11175","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","53","B?nin","511","Population totale","2501","Population","2018","2018","1000 personnes","11485","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","19","Bolivie (?tat plurinational de)","511","Population totale","2501","Population","2017","2017","1000 personnes","11193","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","19","Bolivie (?tat plurinational de)","511","Population totale","2501","Population","2018","2018","1000 personnes","11353","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","80","Bosnie-Herz?govine","511","Population totale","2501","Population","2017","2017","1000 personnes","3352","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","80","Bosnie-Herz?govine","511","Population totale","2501","Population","2018","2018","1000 personnes","3324","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","20","Botswana","511","Population totale","2501","Population","2017","2017","1000 personnes","2205","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","20","Botswana","511","Population totale","2501","Population","2018","2018","1000 personnes","2254","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","21","Br?sil","511","Population totale","2501","Population","2017","2017","1000 personnes","207834","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","21","Br?sil","511","Population totale","2501","Population","2018","2018","1000 personnes","209469","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","27","Bulgarie","511","Population totale","2501","Population","2017","2017","1000 personnes","7102","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","27","Bulgarie","511","Population totale","2501","Population","2018","2018","1000 personnes","7052","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","233","Burkina Faso","511","Population totale","2501","Population","2017","2017","1000 personnes","19193","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","233","Burkina Faso","511","Population totale","2501","Population","2018","2018","1000 personnes","19751","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","35","Cabo Verde","511","Population totale","2501","Population","2017","2017","1000 personnes","537","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","35","Cabo Verde","511","Population totale","2501","Population","2018","2018","1000 personnes","544","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","115","Cambodge","511","Population totale","2501","Population","2017","2017","1000 personnes","16009","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","115","Cambodge","511","Population totale","2501","Population","2018","2018","1000 personnes","16250","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","32","Cameroun","511","Population totale","2501","Population","2017","2017","1000 personnes","24566","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","32","Cameroun","511","Population totale","2501","Population","2018","2018","1000 personnes","25216","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","33","Canada","511","Population totale","2501","Population","2017","2017","1000 personnes","36732","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","33","Canada","511","Population totale","2501","Population","2018","2018","1000 personnes","37075","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","40","Chili","511","Population totale","2501","Population","2017","2017","1000 personnes","18470","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","40","Chili","511","Population totale","2501","Population","2018","2018","1000 personnes","18729","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","351","Chine","511","Population totale","2501","Population","2017","2017","1000 personnes","1452626","A","Agr?gat, peut inclure des donn?es officielles, semi-officielles, estim?es ou calcul?es"
"FBS","Bilans Alimentaires (2014-)","351","Chine","511","Population totale","2501","Population","2018","2018","1000 personnes","1459378","A","Agr?gat, peut inclure des donn?es officielles, semi-officielles, estim?es ou calcul?es"
"FBS","Bilans Alimentaires (2014-)","96","Chine - RAS de Hong-Kong","511","Population totale","2501","Population","2017","2017","1000 personnes","7306","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","96","Chine - RAS de Hong-Kong","511","Population totale","2501","Population","2018","2018","1000 personnes","7372","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","128","Chine - RAS de Macao","511","Population totale","2501","Population","2017","2017","1000 personnes","623","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","128","Chine - RAS de Macao","511","Population totale","2501","Population","2018","2018","1000 personnes","632","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","41","Chine, continentale","511","Population totale","2501","Population","2017","2017","1000 personnes","1421022","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","41","Chine, continentale","511","Population totale","2501","Population","2018","2018","1000 personnes","1427648","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","214","Chine, Taiwan Province de","511","Population totale","2501","Population","2017","2017","1000 personnes","23675","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","214","Chine, Taiwan Province de","511","Population totale","2501","Population","2018","2018","1000 personnes","23726","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","50","Chypre","511","Population totale","2501","Population","2017","2017","1000 personnes","1180","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","50","Chypre","511","Population totale","2501","Population","2018","2018","1000 personnes","1189","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","44","Colombie","511","Population totale","2501","Population","2017","2017","1000 personnes","48910","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","44","Colombie","511","Population totale","2501","Population","2018","2018","1000 personnes","49661","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","46","Congo","511","Population totale","2501","Population","2017","2017","1000 personnes","5111","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","46","Congo","511","Population totale","2501","Population","2018","2018","1000 personnes","5244","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","48","Costa Rica","511","Population totale","2501","Population","2017","2017","1000 personnes","4950","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","48","Costa Rica","511","Population totale","2501","Population","2018","2018","1000 personnes","4999","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","107","C?te d'Ivoire","511","Population totale","2501","Population","2017","2017","1000 personnes","24437","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","107","C?te d'Ivoire","511","Population totale","2501","Population","2018","2018","1000 personnes","25069","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","98","Croatie","511","Population totale","2501","Population","2017","2017","1000 personnes","4183","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","98","Croatie","511","Population totale","2501","Population","2018","2018","1000 personnes","4156","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","49","Cuba","511","Population totale","2501","Population","2017","2017","1000 personnes","11339","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","49","Cuba","511","Population totale","2501","Population","2018","2018","1000 personnes","11338","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","54","Danemark","511","Population totale","2501","Population","2017","2017","1000 personnes","5732","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","54","Danemark","511","Population totale","2501","Population","2018","2018","1000 personnes","5752","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","72","Djibouti","511","Population totale","2501","Population","2017","2017","1000 personnes","944","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","72","Djibouti","511","Population totale","2501","Population","2018","2018","1000 personnes","959","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","55","Dominique","511","Population totale","2501","Population","2017","2017","1000 personnes","71","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","55","Dominique","511","Population totale","2501","Population","2018","2018","1000 personnes","72","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","59","?gypte","511","Population totale","2501","Population","2017","2017","1000 personnes","96443","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","59","?gypte","511","Population totale","2501","Population","2018","2018","1000 personnes","98424","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","60","El Salvador","511","Population totale","2501","Population","2017","2017","1000 personnes","6388","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","60","El Salvador","511","Population totale","2501","Population","2018","2018","1000 personnes","6421","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","225","?mirats arabes unis","511","Population totale","2501","Population","2017","2017","1000 personnes","9487","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","225","?mirats arabes unis","511","Population totale","2501","Population","2018","2018","1000 personnes","9631","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","58","?quateur","511","Population totale","2501","Population","2017","2017","1000 personnes","16785","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","58","?quateur","511","Population totale","2501","Population","2018","2018","1000 personnes","17084","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","203","Espagne","511","Population totale","2501","Population","2017","2017","1000 personnes","46647","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","203","Espagne","511","Population totale","2501","Population","2018","2018","1000 personnes","46693","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","63","Estonie","511","Population totale","2501","Population","2017","2017","1000 personnes","1319","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","63","Estonie","511","Population totale","2501","Population","2018","2018","1000 personnes","1323","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","209","Eswatini","511","Population totale","2501","Population","2017","2017","1000 personnes","1125","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","209","Eswatini","511","Population totale","2501","Population","2018","2018","1000 personnes","1136","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","231","?tats-Unis d'Am?rique","511","Population totale","2501","Population","2017","2017","1000 personnes","325085","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","231","?tats-Unis d'Am?rique","511","Population totale","2501","Population","2018","2018","1000 personnes","327096","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","238","?thiopie","511","Population totale","2501","Population","2017","2017","1000 personnes","106400","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","238","?thiopie","511","Population totale","2501","Population","2018","2018","1000 personnes","109224","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","185","F?d?ration de Russie","511","Population totale","2501","Population","2017","2017","1000 personnes","145530","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","185","F?d?ration de Russie","511","Population totale","2501","Population","2018","2018","1000 personnes","145734","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","66","Fidji","511","Population totale","2501","Population","2017","2017","1000 personnes","877","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","66","Fidji","511","Population totale","2501","Population","2018","2018","1000 personnes","883","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","67","Finlande","511","Population totale","2501","Population","2017","2017","1000 personnes","5511","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","67","Finlande","511","Population totale","2501","Population","2018","2018","1000 personnes","5523","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","68","France","511","Population totale","2501","Population","2017","2017","1000 personnes","66769","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","68","France","511","Population totale","2501","Population","2018","2018","1000 personnes","66931","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","74","Gabon","511","Population totale","2501","Population","2017","2017","1000 personnes","2065","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","74","Gabon","511","Population totale","2501","Population","2018","2018","1000 personnes","2119","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","75","Gambie","511","Population totale","2501","Population","2017","2017","1000 personnes","2214","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","75","Gambie","511","Population totale","2501","Population","2018","2018","1000 personnes","2280","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","73","G?orgie","511","Population totale","2501","Population","2017","2017","1000 personnes","4009","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","73","G?orgie","511","Population totale","2501","Population","2018","2018","1000 personnes","4003","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","81","Ghana","511","Population totale","2501","Population","2017","2017","1000 personnes","29121","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","81","Ghana","511","Population totale","2501","Population","2018","2018","1000 personnes","29767","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","84","Gr?ce","511","Population totale","2501","Population","2017","2017","1000 personnes","10569","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","84","Gr?ce","511","Population totale","2501","Population","2018","2018","1000 personnes","10522","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","86","Grenade","511","Population totale","2501","Population","2017","2017","1000 personnes","111","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","86","Grenade","511","Population totale","2501","Population","2018","2018","1000 personnes","111","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","89","Guatemala","511","Population totale","2501","Population","2017","2017","1000 personnes","16915","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","89","Guatemala","511","Population totale","2501","Population","2018","2018","1000 personnes","17248","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","90","Guin?e","511","Population totale","2501","Population","2017","2017","1000 personnes","12068","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","90","Guin?e","511","Population totale","2501","Population","2018","2018","1000 personnes","12414","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","175","Guin?e-Bissau","511","Population totale","2501","Population","2017","2017","1000 personnes","1828","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","175","Guin?e-Bissau","511","Population totale","2501","Population","2018","2018","1000 personnes","1874","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","91","Guyana","511","Population totale","2501","Population","2017","2017","1000 personnes","775","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","91","Guyana","511","Population totale","2501","Population","2018","2018","1000 personnes","779","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","93","Ha?ti","511","Population totale","2501","Population","2017","2017","1000 personnes","10982","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","93","Ha?ti","511","Population totale","2501","Population","2018","2018","1000 personnes","11123","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","95","Honduras","511","Population totale","2501","Population","2017","2017","1000 personnes","9429","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","95","Honduras","511","Population totale","2501","Population","2018","2018","1000 personnes","9588","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","97","Hongrie","511","Population totale","2501","Population","2017","2017","1000 personnes","9730","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","97","Hongrie","511","Population totale","2501","Population","2018","2018","1000 personnes","9707","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","25","?les Salomon","511","Population totale","2501","Population","2017","2017","1000 personnes","636","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","25","?les Salomon","511","Population totale","2501","Population","2018","2018","1000 personnes","653","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","100","Inde","511","Population totale","2501","Population","2017","2017","1000 personnes","1338677","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","100","Inde","511","Population totale","2501","Population","2018","2018","1000 personnes","1352642","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","101","Indon?sie","511","Population totale","2501","Population","2017","2017","1000 personnes","264651","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","101","Indon?sie","511","Population totale","2501","Population","2018","2018","1000 personnes","267671","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","102","Iran (R?publique islamique d')","511","Population totale","2501","Population","2017","2017","1000 personnes","80674","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","102","Iran (R?publique islamique d')","511","Population totale","2501","Population","2018","2018","1000 personnes","81800","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","103","Iraq","511","Population totale","2501","Population","2017","2017","1000 personnes","32210","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","103","Iraq","511","Population totale","2501","Population","2018","2018","1000 personnes","32965","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","104","Irlande","511","Population totale","2501","Population","2017","2017","1000 personnes","4753","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","104","Irlande","511","Population totale","2501","Population","2018","2018","1000 personnes","4819","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","99","Islande","511","Population totale","2501","Population","2017","2017","1000 personnes","334","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","99","Islande","511","Population totale","2501","Population","2018","2018","1000 personnes","337","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","105","Isra?l","511","Population totale","2501","Population","2017","2017","1000 personnes","8244","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","105","Isra?l","511","Population totale","2501","Population","2018","2018","1000 personnes","8382","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","106","Italie","511","Population totale","2501","Population","2017","2017","1000 personnes","60674","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","106","Italie","511","Population totale","2501","Population","2018","2018","1000 personnes","60627","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","109","Jama?que","511","Population totale","2501","Population","2017","2017","1000 personnes","2921","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","109","Jama?que","511","Population totale","2501","Population","2018","2018","1000 personnes","2935","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","110","Japon","511","Population totale","2501","Population","2017","2017","1000 personnes","127503","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","110","Japon","511","Population totale","2501","Population","2018","2018","1000 personnes","127202","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","112","Jordanie","511","Population totale","2501","Population","2017","2017","1000 personnes","9786","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","112","Jordanie","511","Population totale","2501","Population","2018","2018","1000 personnes","9965","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","108","Kazakhstan","511","Population totale","2501","Population","2017","2017","1000 personnes","18080","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","108","Kazakhstan","511","Population totale","2501","Population","2018","2018","1000 personnes","18320","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","114","Kenya","511","Population totale","2501","Population","2017","2017","1000 personnes","50221","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","114","Kenya","511","Population totale","2501","Population","2018","2018","1000 personnes","51393","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","113","Kirghizistan","511","Population totale","2501","Population","2017","2017","1000 personnes","6190","*","Chiffre non officiel"
"FBS","Bilans Alimentaires (2014-)","113","Kirghizistan","511","Population totale","2501","Population","2018","2018","1000 personnes","6304","*","Chiffre non officiel"
